"Progress","ResponseId","Q39","Q18_1_1","Q18_1_2","Q18_1_3","Q18_1_4","Q18_1_5","Q18_1_6","Q18_1_7","Q18_1_8"
"100","R_RISpksNyuXbtWTL","2,4,5,7,8","2,5","2","1,7","2","2","2","1,8","1,4"
"100","R_1mf20Lo005Curoi","1,2,3,4","1,50","1,50","3,00","3,00","1,00","1,00","0,75","0,75"
"100","R_3Dd9JV0N0Wq9gPC","1,2,3,4,5,6,7,8","2.5","2","3","3.2","2.5","1.8","1.3","1"
"100","R_1PdV197NUAUV1fH","1,2,3,4,5,6,7,8","€3.00","€2.50","€2.99","€3.99","€2.50","€2.00","€2.50","€2.50"
"100","R_2YkXoE8fB8IL3WL","1,2,3,4,5,7,8","€3","€2.5","€3","€4","€3","€2","€2","€1.5"
"100","R_1IARDEFXjqmxNdT","1,2,3,4,5,6,7,8","1","2","3","4","5","1","1","3"
"100","R_1ptbcILXqw0EFHm","1,2,3,4,7","2.5","2","4.5","5","3","2.5","2.8","2"
"100","R_2dTokpNEiMkfQ4m","2,4,5,6,7,8","2.5","1.50","2.5","3.5","3","1.79","1.19","0.99"
"100","R_3GxEVIl4zVODgAy","1,3,8","1.50","0.80","1.00","1.20","1.20","1.20","1.50","1.00"
"100","R_1onnlqsYutPphXL","1,2,3,4,5,6,7,8","1.8","0.90","1.2","3","3","2","1.5","1.1"
"100","R_ujL0vesl03OijOV","1,2,3,4,5,7,8","2","1","2","2","2","1.5","2","1.5"
"100","R_3jVWhewN3DuyJRW","1,2,3,4,5,6,7,8","€2.5","€1.5","€2","€3","€2","€1.7","€1.7","€1.6"
"100","R_RfyqepuKRAhQ6NH","1,2,3,4,5,7,8","€1.8","€1.2","€2.8","€3.0","€1.8","€1.2","€2.0","€1.5"
"100","R_1pDJKGj77xw9zzv","1,2,3,4,5,7,8","2","1","2.5","3","1.5","1","2","1"
"100","R_33d67J7Dw5tWJ11","1,2,3,4,5,7,8","3","1,50","1","3","4","2","3","1"
"100","R_12J9JsSPFsSAXxM","1,2,3,4,5,7,8","2.5","2.5","2","2","1.5","1.5","1","1"
"100","R_21v3f5aoVr3YBiD","1,2,3,4,5,6,7,8","€3.0","€2.0","€4.0","€4.0","€2.5","€2.0","€1.2","€1.0"
"100","R_3m4R7ifwNC2mR6M","1,2,3,4,5,6,7,8","2","1","1.5","2","2","1","2","1"
"100","R_2aEJEtU8A3Zahyr","1,2,3,4,5,6,7,8","1.5","0","2","2","2","2","1.5","1.5"
"100","R_2WOSgQ9e20VN2dd","1,2,3,4,5,6,7,8","2.5","1","1.9","2.0","2.4","2.2","1","1"
"100","R_3k1IqZ9tHldmURI","1,2,3,4,5,6,7,8","€4","€2","€3","€3","€3","€2","€3","€2"
"100","R_1Ok5ValB4osQHw1","1,2,3,4,5,6,7","2€","1,50€","3","3","2","1,5","2","2"
"100","R_3enoBEnQRzR8U9w","2,4,5,6,7,8","2","1,50","2","3","2","1,5","1,20","1"
"100","R_3g290iu9TPGmq92","1,2,3,4,5,6,7,8","3","2","3","4","2","1","2.5","2"
"100","R_2dAd8dIHlb6l2p8","1,2,3,4,5,7,8","€3","€2","€3,5","€4","€3","€2,5","€3","€3"
"100","R_Ah47hNTgtuHUYkp","1,2,3,4,5,6,7,8","2.0","1.0","3.0","4.0","2.0","1.5","1.2","0.5"
"100","R_zUAPIAWD14EoDnz","1,2,3,4,5,6,7,8","1,5","1","2","2","1","1","2","1,5"
"100","R_1gN1cHdhFdU3u4t","1,2,3,4,5,6,7,8","2","1","2","2","2","0","1.5","1.5"
"100","R_bE4dqZnFuW96Med","3","€4.99","€2.99","€1.99","€3.99","€2.99","€2.99","€1.99","€1.99"
"100","R_2tstdi3TetV5MQU","1,2,3,4,5,7,8","2.00","2.00","3.00","3.00","3.00","3.00","1.5","1.5"
"100","R_1F5MSB9XmM75UNw","1,2,3,4,5,7","2","0.7","1","2.5","2.8","1.4","2.6","1.5"
"100","R_27xvgSIQCf5be8Q","1,2,3,4,7","3","2.5","5","5","4","2","1.5","2.5"
"100","R_3IcuVQDXYBC7z2T","1,2,3,4,5,6,7,8","€2","€1","€2","€3.5","€2.5","€1.5","€2","€1.3"
"100","R_vGZv46ClYVn9r9L","2,4,5,7,8","€2.99","€2.50","€2.50","€3.50","€2.50","€2.20","€1.50","€1.20"
"100","R_BIWXE4VnxfNjyTv","2,4,5,6,7,8","2","1","3","3","3","2","2","2"
"100","R_30kIkk2LKoggsTC","1,3","4","2","4","6","4","3,5","3","2,5"
"100","R_2QFpeKcWncv8sf3","1,2,3,4,5,7,8","2","1.50","2.50","2.50","2","1.50","2","2"
"100","R_1fdTZeEOIdXhaI0","1,2,3,4,5,6,7,8","2,5","1","2","3","2","1,2","2","2"
"100","R_x5BEhXKDYVpYfVT","1,3,6","2.5","2","2.5","3","3","1.5","2","1"
"100","R_CeREcDL7Yh2eMqR","3,5","5","3","2","5","3","2","3","2"
"100","R_1pVFMakD1jkhIT4","1,2,3,4,5,6,7,8","3","2","4","4","2.5","1.5","2","2"
"100","R_qJfOI8KWTyrknXr","1,2,3,4,5,7,8","2","1","1.5","2","1.2","1","2","1"
"100","R_pix47RFESKuZZUl","3,5","€3","€2","€2.75","€3.5","€5","€5","€2","€1.5"
"100","R_31XX2ZAm1WI3cbf","1,2,3,4,5,7,8","2.7","1.8","2","2.5","1.7","1","2","2"
"100","R_zT3kfXSoXuS9Xyh","1,2,3,4,5,6,7,8","€1.8","€0.8","1.99","2.50","2.99","1.30","1.90","1.00"
"100","R_1gzhN2anmXyCpV1","1","1.49","0.99","1.49","1.99","0.99","0.99","1.49","0.89"
"100","R_1N5quaPpRPgwqc2","1,2,3,4,5,7,8","€2","€1.5","€3","€4","€2.3","€1.7","€2","€1.5"
"100","R_3h9CIyL0snYpKnD","1,2,3,4,5,7,8","3","1","3","5","4","2","2","2"
"100","R_vSrd6I8VuGFr8YN","1,2,3,4,5,7","3.75","3.75","5","5","3","3","1.5","1.5"
"100","R_3qqvpUiOOAIdRvt","1,2,3,4,5,6,7,8","€2","€1","€2.8","€3","€2.8","€2.5","€2","€1.8"
"100","R_9t6o3rQjpTL9uKJ","1,2,3,4,5,6,7,8","2","1.5","1.5","2","1.5","1","2","1.5"
"100","R_2sd5Qf2USDdu5gS","1,2,3,4,5,6,7,8","1.99","0.99","1.89","2.49","1.79","1.29","1.69","1.19"
"100","R_2EppEmijFTUTWeO","1,2,3,4,5,7,8","1.2","0.8","1.2","1.8","2","2.2","1","1"
"100","R_1jNisDYtqnBhlaz","1,2,3,4,5,6,7","€3","€1,5","€3","€5","€2","€1","€2","€1"
"100","R_1lsiKMi51ntE5iB","1,2,3,4,5,6,7,8","1€","1€","2€","2€","0€","0€","2€","2€"
"100","R_33fLVHIe7y8ukWS","1,2,3,4,5,6,7,8","2","1.5","3","3","1.5","1","1.5","1.5"
"100","R_pFdsShWDjNqDONz","1,2,3","1,00","0,8","1,5","1,75","1,50","1,50","1,00","0,75"
"100","R_2cpagwvtffdjr94","1,3,5,8","3","2","1.5","2","1","1","1.5","1.2"
"100","R_2dmf4N3XDFBaIYx","1,2,3,4,5,6,7,8","3.5","3","3","3.2","4","4","1.2","1.2"
"100","R_1QbgNIcSQRvcJJg","3","2","1","2","3","1","1","1","1"
"100","R_31d3lhePxT4uSR6","1,2,3,4,5,7,8","2","1","3","3","1,50","1","2","2"
"100","R_2YQI6EOM3Fbfe0T","1,3,4,5,7,8","2","1","2","3","2.5","1.5","1","0.5"
"100","R_1OkjJBbAK0D2zYx","1,2,3,4,5,7,8","€1.99","0.99","79","1.20","1.99","1.30","1.29","0.89"
"100","R_1Duw7zTiFzVNscf","1,2,3,4,5,7,8","3,45","1","2","2,7","2","1","2","1,5"
"100","R_RkRHZuxus7EA6fn","1,2,3,4,5,6,7,8","€2.5","€2.0","€3.0","€3.0","€2.5","€2.5","€2.5","€2.0"
"100","R_27OSAC0U3BqK5KX","1,2,3,4,5,6,7,8","2.5","1.5","3.5","3.50","2.70","2","2","1.20"
"100","R_A0s6PhKmGpI5mJr","3","4","3,5","3,5","3,5","2,0","3","2,5","2,5"
"100","R_s7iEU1ck2u0Ovjb","1,2,3,4,5,6,7,8","3","1,5","2","4","3","2","2","1,5"
"100","R_1KrPO8DdwaAbJgf","1,2,3,4,5,6,7","2.5","1.5","1.5","2.9","1.5","1.5","1.9","2"
"100","R_3fMOPyhBs0WDJlW","1,2,3,4,5,6,7,8","3","2","3","4","3","2","2","1.5"
"100","R_3UV8LsdPkqyApDX","1,2,3,4,5,6,7,8","2","0.90","2","4","3","1,5","1,5","1"
"100","R_6L85w5PHTDdLzRT","1,3,4","2,5","2,0","1,5","2,0","1,8","1,8","2.0","2,0"
"100","R_bmzr7COnudYsCmB","1,2,3,4,5,6,7,8","2€","1€","1€","3€","2£","1,5€","1,7€","1€"
"100","R_3fpG94Z5BKmySrp","1,2,3,4,5,7,8","€2.5","€1.9","€2","€2.5","€1.4","€1.2","€1.5","€1.3"
"100","R_22t8AcP1k6tch70","1,2,3,4,5,6,7,8","2.5","1.5","2","2","1.5","0.75","2.5","1"
"100","R_27qlA6yHbNdoQm4","3,5","2.6","1.7","","","1.9","1.3","2.6","2.3"
"100","R_1gbFB0UQuTNYPOQ","1,2,3,4,5,6,7","3.00","1.50","2.00","2.50","1.50","1.00","2.50","1.80"
"100","R_1dtx99QBVQzVDDl","1,2,3,4,5,6,7,8","1,99","1,00","1,90","2,90","2,19","1,59","1,99","1,00"
"100","R_2rHDrma5Hlz4mUP","1,2,3,4,5,6,7,8","€3","€1.50","€2.50","€2.50","€2.00","€1.50","€1.50","€1.00"
"100","R_2XbS3iiMIfFGVXk","1,2,3,4,5,7,8","3.0","1.5","2.0","3.0","2.5","2.0","2.5","2.5"
"100","R_23ax1QfYk6x11hv","1,2,3,4,5,6,7,8","2€","1€","2€","3€","2€","0.9€","2€","1.5€"
"100","R_3hnKGpzzRrC218e","1,2,3,4,5,6,7,8","1,2","0,8","2","3","1","0,5","3","1"
"100","R_6fVWQaGCmqXQ8g1","1,2,3,4,5,7,8","3.5","1.5","2","2.5","1.5","1","2","2"
"100","R_3MlLRLZqw3lbo4S","1,2,3,4,5,6,7,8","2.0€","0.99€","3.99€","4.99€","2.99€","2.09€","1.99€","1.00€"
"100","R_3kB2MKbG9Q8thSj","1,2,3,5,7,8","3.00","2.00","2.00","2.00","2.50","1.80","1.70","1.60"
"100","R_25AA5HYQqefNrSz","1,2,3,4,5,6,7,8","3","2","1.50","3","2","1,50","2","1,70"
"100","R_1jPag3T7317qJIi","3,5","4","3.5","5","5.5","4","3","3","2"
"100","R_2ziOUchWQIT8UgG","1,2,3,4,5,7,8","2","1.5","3","3.5","3","2","1.5","0.8"
"100","R_30kqyGlbGwmsIgC","1,2,3,4,5,7,8","2,5","1,5","2,99","2,99","1,79","1,79","1,79","1,59"
"100","R_1OAGdLJ7bgVRwsh","1,2,3,4,5,6,7,8","€2,5","€2,0","€2,0","€3,0","€3,0","€3,0","€2,0","€2,5"
"100","R_10opSbmr4PKkQ3Y","1,2,3,4,5,7,8","1,5","1","1,5","1,5","1,5","0,8","1","1"
"100","R_aeZbBXKHWjxgShH","1,2,3,4,5,6,7,8","€2,5","€1,99","€2,5","€3,5","€3","€2","€2","€1,2"
"100","R_3EmYulpELS6xfpF","1,2,3,4,5,6,7,8","2,5","2","2","3","2","1,5","1,5","1"
"100","R_2eP6LuKaGpWJvMv","1,2,3,4,5,7,8","€3","€2","€4","€4","€4","€4","€2","€1,5"
"100","R_2b2HMIVgwMyOLTB","1,2,3,4,6,7","2","1","5","5","3","2.5","3","2"
"100","R_URCtJ0tw0Na0F0J","1,2,3,4,5,7,8","2.00","2.00","2.5","2.5","2.20","2.20","2.00","2.00"
"100","R_1eW6q9v6cFYPFTw","1,2,3,4,5,6,7,8","3","2","1.5","2","2","1","2","2"
"100","R_3dLL8URRsH0edy6","1,2,3,4,5,6,7,8","2,00","1,30","1,8","2,00","2,00","1,30","1,20","1,00"
"100","R_vouSl3brN7ZBjmF","2,4,5,7,8","3.5","2.5","4.5","4.5","3","2.5","2.5","2.5"
"100","R_3lLyUP3F9S6bpS9","1,3","€1,80","€1,20","€0,70","€1,00","€1,20","€1,00","€1,50","€1,20"
"100","R_2dmvfmCP36ZzyLJ","1,2,3,4,7"," €2.3"," €1.5"," €3"," €3"," €1.7"," €1.7"," €1.5"," €1.5"
"100","R_Uz34yqecYLA7Nux","1,2,3,4,5,6,7,8","2","1","2","2","2","1.5","2","1.5"
"100","R_2pXGbqElVtHFHLR","1,2,3,7","-99","-99","-99","-99","-99","-99","-89","-89"
"100","R_78SLLFNcF5mZvQB","1,2,3,4,5,7,8","3","2","2","3","1.70","1.40","2","2"
"100","R_1JVp1ncHtN3t1Od","1,4","1.8","1","0.8","2.5","1.5","1.2","1.2","1"
"100","R_2ToeibEOlYrSv4A","1,2,3,4,5,6,7,8","3.0","2.0","2.0","3.0","2.5","1.9","1.9","1.4"
"100","R_3fw7KJg5DH7jgPT","1,2,3,4,5,6,7,8","€1,5","€1,5","€2","€2","€1,4","€1,4","€1","€1"
"100","R_3EJObnRX93PPoNp","1,2,3,4,5,6,7,8","2.5","1.5","2","2","1.2","1","1.2","1.1"
"100","R_3Dvb1Y2c4eTuiQi","1,2,3,4,5,7,8","2€","1.5€","3€","3€","2€","1.5€","1.50€","1.10€"
"100","R_08K4Iq71dQTHGX7","1,2,3,4,5,6,7,8","2.50","1.50","2.00","3.00","2.50","1.50","1","0.80"
"100","R_3jYW4gtVB8k87nj","1,2,3,4,5,7,8","2","2","1.5","1.5","2","1.7","1.7","1.7"
"100","R_32IPmGdVN317nJM","1,2,3,4,5,7,8","2","1.80","3","3.50","2.50","2","1,80","1,60"
"100","R_3Ptp9Sm6W1j8n7H","1,2,3,4,5,6,7","€2","€1","€1.5","€2","€2.2","€1","€1.9","€0.8"
"100","R_cSZlsqHvZfn33t7","6","3.0","2.5","5.0","4.0","3.75","6","3","2.5"
"100","R_1LUUFKaOHNd4dg4","1,2,3,4,5,7,8","3","2","3","3","2,5","2","3","3"
"100","R_1i5aJtfEeKrULvM","1,2,3,4,5,6,7,8","1,20","1,20","1,50","2","2,50","2","2","1,75"
"100","R_24AF1jMAl8dm5Ca","1,2,3,4,5,6,7,8","2,50","2","3,5","3,5","3","2,5","2,5","2,5"
"100","R_1BWw2Ww5IrGlh5w","1,2,3,4,5,7,8","2,5","","","","","","",""
"100","R_2BfKjdolBl7C7Kr","1,2,3,4,5,7,8","3.0","1.7","2.40","2.90","2.70","1.50","1.60","1.0"
"100","R_UXdO5vz6mn87EQN","2,4,5,7,8","2","1","3,5","3,5","2","2","2","2"
"100","R_3ssMyZ1nBu6oJVJ","1,2,3,4,5,6,7,8","2,0","1,50","1,99","2,20","1,69","1,09","1,69","1,69"
"100","R_1JDAPIpMCwvKN4M","1,2,3,4,5,6,7,8","2","1,5","2,5","1,75","3","2","1,5","1"
"100","R_25Gy8aK8FsM0wYI","1,2,3,4,5,7,8","2","1.5","2","2","2,5","2,3","2,5","2,4"
"100","R_2uPr8ujsaEhNVlI","1,2,3,4,5,7","2.5€","1.5€","4€","4€","1.5€","1€","1.5€","1€"
"100","R_2PpyEKLE9JgUN8L","1,2,3,4,5,6,7,8","1.6","0.99","2.00","3.4","2.2","1.8","1.2","1.1"
"100","R_1H8m1nZ7F6SPaq3","1,2,3,4,5,7,8","2","1.5","2","2","1.5","1.5","1.5","1"
"100","R_29smVokTPgCImNr","3","3","3","3","3","2","2","3","3"
"100","R_3lzzWWq1utbEXPX","1,2,3,4,5,6,7,8","3","2","2","2","2","2","2","2"
"100","R_Cm3IJbYuoRPU121","1,2,3,4,5,6,7,8","€2.5","€1.5","€2.5","€2.5","€2","€1.5","€1.5","€1.5"
"100","R_28Pe9lK1icGe6YF","1,2,3,4,5,6,7,8","1","1","1,5","1,5","1,3","1,3","1","1"
"100","R_3fqGOXp1dRkCW6u","3","2","1","2","2","1","1","1","1"
"100","R_AcepFtjWq9vFWdX","1,2,3,4,5,6,7,8","2","1,50","1,50","2","1,50","1","1","1"
"100","R_2WTHdXsa9NfTCfF","1,2,3,6,7","2","1.3","2","3.5","2","1.7","1","1.2"
"100","R_vCPoWDM3qWkNxT3","1,2","2","1","2","3","4","4","3","2"
"100","R_79RSNKdcwU5bUTD","1,2,4,5","1","0.80","2","2","1.50","1.50","1","0.80"
"100","R_2zZU0cbSc08Eu1M","1,2,3,4,5,6,7,8","1","0,8","1","1","2","1,6","2","2"
"100","R_2dEiKzGCh7Hw35L","1,2,3,4,5,6,7,8","2","1","2","3","2","2","2","2"
"100","R_1QGgAgdT67zvYy5","1,2,3,4,5,6,7,8","1,50","2,50","3,50","4,50","2,50","2,00","2,00","1,50"
"100","R_1n0ZQ52I6UrhsTD","1,3","0.79","0,79","1,50","1,99","1,50","1,50","0,99","0.79"
"100","R_0qPldoYTWbGTlyV","1,2,3,4,5,6,7,8","2","1","3","4","2","2","1,5","2"
"100","R_3JLyiuMET5hYXd6","1,3","1,50","0,90","0,89","1,50","1,30","0,60","1,20","1,20"
"100","R_xhgI7TBK27djddv","1,2,3,4,5,7,8","2","1,5","1,5","2,5","2","1,8","2","1,8"
"100","R_3KpGZ5m9rcxaOvG","1,2,3,4,5,6,7,8","€3","€2","3","3","€2","€1","€2","€2"
"100","R_2zcrqMEKA8QSavl","1,2,3,4,5,7,8","2.5","1.7","2","3","1.8","0.9","1.7","1"
"100","R_NVGEteXqE4vrPwJ","1,2,3,4,5,6,7,8","3.5","2.5","2.5","3.5","3","2","1","2"
"100","R_1K3lTGWyhzHoqod","1,2,3,4,5,6,7,8","3","1.50","2","2","2","2","1","0.9"
"100","R_1qeUJB7jVmhX5wy","2,4,5,7,8","2","1.50","2.5","2.5","2","1.50","1,50","1,50"
"100","R_2ZJPJA63yDC3xRX","1,3,5","2","2","5","5","3","3","3","3"
"100","R_2vZWHE7TIIfULTq","1,2,3,4,5,7,8","3","2.5","2","3","2","2","2","1"
"100","R_3GuANyIchn09FMJ","1,2,3,4,5,7,8","1,8","1,5","2","2","2,5","2","1,5","1"
"100","R_302G7Hd0fFF1GtL","1,3","5","1","1","1","2","2","3","2"
"100","R_1FyuvEss7IrjuIO","2,4,5,7,8","3,00","2,00","3,00","4,00","2,00","1,50","3,00","3,00"
"100","R_Tvlvkqg5rrTFXdT","1,2,3,4,5,6,7,8","€2,5","€2","€3","€3,50","€2,50","€2","€1,90","€1,50"
"100","R_1P4NITtFnw8LW6v","1,2,3,4,5,6,7,8","€2","€1","€2","€3","€2","€1","€1","€0,80"
"100","R_sYWleJhTo5Htn1f","1,3,6","1.50","0.80","0.80","1.80","1.99","1.20","2.00","1.50"
"100","R_32SjO8aIE9STm2R","1,2,3,4,5,7,8","2","1.5","1.5","1.7","1.6","1.3","1.2","1"
"100","R_Z9SEeTXcFgNvg2Z","1,2,3,4,5,6,7,8","3","2","3","4","2","2","2","2"
"100","R_3FKcqn1VrPEiSYM","1,2,3,4,5,6,7,8","1,50","0,80","1,00","1,00","0,50","0,40","1,50","1,00"
"100","R_3hrJkXRBi9zzMBd","1,2,3,4,5,6,7,8","2,50","1,50","2,00","2,50","3,50","2,00","1,50","1"
"100","R_1IbD7LQsoULMgEg","1,2,3,4,6,7","2,5","1,5","1","1","3","2,50","2","1,20"
"100","R_A5rXvPDc2YD9L1L","2,4,5,7,8","1,9","1,1","2,2","2,2","2,3","1,5","1,4","1,4"
"100","R_cUNKb2XKLwUMWaZ","1,2,3,4,5,6,7,8","3","2","3,5","5","2,5","1,5","3","2"
"100","R_1H1O0HKEbmQFlhn","1,2,3,4,5,6,7,8","2.0","1.5","3","3.5","2","2","2","2"
"100","R_3m4vUOWxUN455v7","1,2,3,4,5,6,7,8","2","1","3","3","2,5","2","2","2"
"100","R_9MDYeBLvf25BaFj","1,2,3,4,5,7,8","1","0,80","1,50","1,50","1","0,80","1,20","1,20"
"100","R_3CDiAKFNlTstTwJ","1,2,3,4,5,6,7,8","2.5","0.99","1.5","3.5","2.0","1.5","1.9","0.98"
"100","R_3rV55Qm84HMDwy2","1,3,6","1","1","2","2","2","2","2","2"
"100","R_3O6B0xrGBAEgdps","1,2,3,4,5,6,7,8","2.502","23,5","3,5","3,51,99","","1,69","1,99","1,99"
"100","R_3ESWJihxItjo7Rd","1,2,3,4,5,6,7,8","1.30","1,30","0.7","0,9","1,50","1,40","1","1"
"100","R_3Jz8WfqIGN4IM2l","1,3","3","2","2","2","3","2","3","3"
"100","R_2U5he6VswSp6Qe8","1,2,3,4,6","2","0.50","0.75","2","1.5","0.80","2","1"
"100","R_1Q5HodgbsrjlIRp","1,2,3,4,5,6,7,8","3","3","4,5","4,5","2,5","2,2","1,9","1,9"
"100","R_3smrelVC0mxXk77","1,2,3,4,5,6,7,8","2","Q","2","4","3","2","2","1,30"
"100","R_1rMnA2WFqJ8rLrH","2,3,4,5,7,8","1,5","1","2","3","2","2","1,9","1,9"
"100","R_7NFHaj4xoOnT6dr","1,2,3,4,5,7,8","2","1,5","2","2","1","0,7","1,6","1,6"
"100","R_d6izffJIndc39CN","1,2,3,4,5,7,8","0","0","1,50","0","000","0","1,50","1,50"
"100","R_1OIzTkzTlbLy8uL","1,2,3,4,5,7,8","€3","€2","€3","€3","€2","€1","€2.5","€1.5"
"100","R_2ydVYkbEKNbaFUG","1,2,3,4,7,8","1.8","1.5","2.5","3.2","2.1","1.4","1.6","1.4"
"100","R_DM1Kd6udOq58ZHz","1,2,3,4,5,6,7,8","2,39","1,00","1,49","2,29","1,99","0,79","1,29","1,09"
"100","R_2us7MOCu3HLc4F6","1,2,3,4,5,6,7,8","1.50","0.99","1.59","2.49","2.99","1.99","1.50","0.99"
"100","R_2D1OYD5dCohWttW","1,2,3,4,5,6,7,8","€2.5","€1.5","€1.99","€2.5","€2.5","€2.0","€2.0","€2.0"
"100","R_3I5AtD9DKgEYeBm","1,2,3,4,5,6,7","1.25","0.80","1.25","2.75","3.25","2.25","1.75","0.80"
"100","R_3KPic15p7Eb9fuF","3","1.5","1","1.5","2","2","2","1.8","1.5"
"100","R_z0zC4s7GoYAK53P","1,2,3,4,5,7,8","2","1","0,5","1","2","1","1,5","1"
"100","R_2X0UEJXarqi9Ktg","1,3,7","1,50","1,50","1","1",",89",",79","1,10","1,20"
"100","R_1QB31t5o41sbtVg","1,2,3,4,5,6,7,8","3","2","3","4","3","1,5","2","2"
"100","R_zTpRdUWh43Xe6o9","1,2,3,4,5,6,7,8","3","1","1,5","3","2","1,5","2","2"
"33","R_11ir5CX3X5rdpbU","1,2,3,4,5,6,7,8","","","","","","","",""
"17","R_22zzwGH8bjAskk4","1,2,3,4,5,6,7,8","","","","","","","",""
"20","R_3PQTKuckfV3XKSE","1,2,3,4,5,7,8","","","","","","","",""
"23","R_2SCrJmuYgH2pfTk","1,2,3,4,5,6,7,8","","","","","","","",""
"23","R_1DtMNbeAlhP68eD","1,2,3,4,5,6,7,8","","","","","","","",""
